Time, Target theta1 = -1.570795, target theta2 = 1.047196666666667, target theta3 = 1.047196666666667, gripper_x, gripper_y, gripper_z
0.00300, 0.00000, 0.00000, 0.05236, -0.00024, -0.00565, 0.53949
0.05780, -0.05236, 0.00000, 0.05236, -0.00073, -0.01638, 0.53890
0.11610, -0.08727, 0.01745, 0.08727, -0.00182, -0.02618, 0.53791
0.17200, -0.12217, 0.05236, 0.12217, -0.00313, -0.03673, 0.53592
0.22820, -0.15708, 0.06981, 0.15708, -0.00498, -0.05175, 0.53379
0.28420, -0.17453, 0.08727, 0.19199, -0.00847, -0.06359, 0.53101
0.34030, -0.20944, 0.12217, 0.22689, -0.01197, -0.07573, 0.52620
0.39740, -0.24435, 0.15708, 0.24435, -0.01791, -0.09215, 0.52168
0.45440, -0.27925, 0.19199, 0.27925, -0.02316, -0.10402, 0.51465
0.51260, -0.31416, 0.22689, 0.31416, -0.03137, -0.11951, 0.50854
0.56850, -0.33161, 0.26180, 0.34907, -0.03861, -0.13111, 0.50135
0.62450, -0.38397, 0.31416, 0.38397, -0.04641, -0.14547, 0.49071
0.68310, -0.40143, 0.34907, 0.40143, -0.05783, -0.15580, 0.48156
0.73920, -0.43633, 0.40143, 0.43633, -0.06700, -0.16533, 0.46831
0.79510, -0.47124, 0.43633, 0.47124, -0.07656, -0.17685, 0.45719
0.85110, -0.50615, 0.47124, 0.50615, -0.09013, -0.18455, 0.44525
0.90660, -0.52360, 0.54105, 0.54105, -0.10058, -0.19323, 0.42828
0.96510, -0.55850, 0.57596, 0.55850, -0.11472, -0.19868, 0.41431
1.02100, -0.59341, 0.64577, 0.59341, -0.12533, -0.20293, 0.39485
1.07670, -0.62832, 0.68068, 0.62832, -0.13618, -0.20686, 0.37903
1.13250, -0.66322, 0.73304, 0.66322, -0.15021, -0.20834, 0.36261
1.19050, -0.69813, 0.80285, 0.69813, -0.16016, -0.20826, 0.34046
1.24780, -0.71558, 0.83776, 0.71558, -0.17291, -0.20666, 0.32300
1.30380, -0.75049, 0.90757, 0.75049, -0.18183, -0.20373, 0.29914
1.35970, -0.78540, 0.95993, 0.78540, -0.19021, -0.19774, 0.28091
1.41560, -0.82030, 1.01229, 0.82030, -0.19987, -0.19160, 0.26212
1.47170, -0.83776, 1.08210, 0.85521, -0.20557, -0.18405, 0.23903
1.53020, -0.87266, 1.11701, 0.87266, -0.21094, -0.17165, 0.22485
1.58560, -0.90757, 1.15192, 0.92502, -0.21404, -0.16155, 0.21400
1.64160, -0.94248, 1.18682, 0.94248, -0.21695, -0.14837, 0.20428
1.70010, -0.97738, 1.18682, 0.97738, -0.22083, -0.13854, 0.19940
1.75680, -1.01229, 1.20428, 1.01229, -0.22371, -0.12624, 0.19528
1.81590, -1.02974, 1.20428, 1.04720, -0.22731, -0.11743, 0.19315
1.87430, -1.08210, 1.20428, 1.04720, -0.23017, -0.10693, 0.19203
1.93230, -1.09956, 1.20428, 1.04720, -0.23469, -0.09971, 0.19237
1.98830, -1.13446, 1.20428, 1.04720, -0.23811, -0.09324, 0.19373
2.04510, -1.16937, 1.20428, 1.04720, -0.24143, -0.08510, 0.19506
2.10110, -1.20428, 1.20428, 1.04720, -0.24519, -0.07947, 0.19641
2.15590, -1.22173, 1.20428, 1.04720, -0.24758, -0.07379, 0.19807
2.21330, -1.25664, 1.20428, 1.04720, -0.24999, -0.06677, 0.19919
2.26860, -1.29154, 1.18682, 1.04720, -0.25149, -0.06133, 0.20051
2.32680, -1.32645, 1.18682, 1.04720, -0.25273, -0.05431, 0.20144
2.38400, -1.36136, 1.18682, 1.04720, -0.25422, -0.04881, 0.20235
2.44100, -1.37881, 1.18682, 1.04720, -0.25525, -0.04317, 0.20358
2.49720, -1.41372, 1.16937, 1.04720, -0.25655, -0.03533, 0.20451
2.55260, -1.44862, 1.16937, 1.04720, -0.25746, -0.02913, 0.20582
2.61140, -1.48353, 1.16937, 1.04720, -0.25827, -0.02036, 0.20679
2.66660, -1.51844, 1.16937, 1.04720, -0.25912, -0.01346, 0.20776
2.72400, -1.53589, 1.15192, 1.04720, -0.25956, -0.00621, 0.20905
2.78040, -1.57079, 1.15192, 1.04720, -0.25980, 0.00379, 0.21001
2.83560, -1.57079, 1.15192, 1.04720, -0.25971, 0.01098, 0.21093
2.89180, -1.57079, 1.15192, 1.04720, -0.25939, 0.01929, 0.21214
2.94880, -1.57079, 1.15192, 1.04720, -0.25875, 0.02400, 0.21305
3.00650, -1.57079, 1.13446, 1.04720, -0.25827, 0.02735, 0.21425
3.06400, -1.57079, 1.13446, 1.04720, -0.25784, 0.02959, 0.21509
