Time, Target theta1 = 1.570795, target theta2 = 1.047196666666667, target theta3 = 1.047196666666667, gripper_x, gripper_y, gripper_z
0.00290, 0.00000, 0.00000, 0.03491, 0.00004, -0.00499, 0.53766
0.05490, 0.05236, 0.00000, 0.05236, 0.00054, -0.01587, 0.53596
0.11300, 0.08727, 0.01745, 0.10472, 0.00164, -0.02539, 0.53492
0.17090, 0.12217, 0.05236, 0.12217, 0.00293, -0.03587, 0.53293
0.22700, 0.15708, 0.06981, 0.15708, 0.00545, -0.05070, 0.53084
0.28300, 0.17453, 0.08727, 0.19199, 0.00815, -0.06264, 0.52806
0.33890, 0.20944, 0.12217, 0.20944, 0.01156, -0.07872, 0.52334
0.39670, 0.24435, 0.15708, 0.24435, 0.01727, -0.09087, 0.51895
0.45250, 0.27925, 0.19199, 0.27925, 0.02246, -0.10285, 0.51190
0.50800, 0.31416, 0.22689, 0.31416, 0.02855, -0.11871, 0.50567
0.56380, 0.33161, 0.26180, 0.34907, 0.03771, -0.13008, 0.49867
0.62160, 0.36652, 0.31416, 0.38397, 0.04556, -0.14124, 0.48803
0.67840, 0.40143, 0.34907, 0.40143, 0.05669, -0.15479, 0.47908
0.73400, 0.43633, 0.40143, 0.43633, 0.06578, -0.16434, 0.46580
0.79400, 0.47124, 0.43633, 0.47124, 0.07874, -0.17600, 0.45479
0.85020, 0.48869, 0.47124, 0.50615, 0.08889, -0.18377, 0.44292
0.90750, 0.54105, 0.52360, 0.54105, 0.09909, -0.19265, 0.42581
0.96290, 0.55850, 0.57596, 0.57596, 0.11322, -0.19799, 0.41238
1.02130, 0.59341, 0.62832, 0.59341, 0.12413, -0.20247, 0.39265
1.07720, 0.62832, 0.68068, 0.62832, 0.13830, -0.20647, 0.37706
1.13470, 0.66322, 0.75049, 0.66322, 0.14856, -0.20803, 0.35544
1.19260, 0.69813, 0.78540, 0.69813, 0.15876, -0.20815, 0.33861
1.24840, 0.71558, 0.83776, 0.73304, 0.17169, -0.20668, 0.32099
1.30530, 0.75049, 0.90757, 0.75049, 0.18069, -0.20387, 0.29713
1.36160, 0.78540, 0.95993, 0.78540, 0.19157, -0.19804, 0.27886
1.41830, 0.82030, 1.02974, 0.82030, 0.19859, -0.19227, 0.25484
1.47830, 0.85521, 1.08210, 0.85521, 0.20607, -0.18196, 0.23767
1.53310, 0.87266, 1.11701, 0.89012, 0.21005, -0.17260, 0.22346
1.59030, 0.90757, 1.15192, 0.90757, 0.21332, -0.15918, 0.20960
