Time, theta1, theta2 ,theta3, gripper_x, gripper_y, gripper_z
0.00320, 0.00000, 0.00000, 0.03491, 0.00005, -0.00507, 0.53954
0.05630, 0.05236, 0.00000, 0.05236, 0.00055, -0.01316, 0.53888
0.11300, 0.08727, 0.01745, 0.08727, 0.00163, -0.02529, 0.53798
0.17130, 0.12217, 0.03491, 0.12217, 0.00294, -0.03577, 0.53660
0.22610, 0.15708, 0.06981, 0.15708, 0.00476, -0.05068, 0.53394
0.28310, 0.17453, 0.08727, 0.17453, 0.00824, -0.06248, 0.53120
0.33880, 0.20944, 0.12217, 0.22689, 0.01163, -0.07440, 0.52649
0.39650, 0.24435, 0.15708, 0.24435, 0.01588, -0.09067, 0.52210
0.45230, 0.27925, 0.19199, 0.27925, 0.02281, -0.10300, 0.51682
0.51060, 0.31416, 0.22689, 0.31416, 0.02873, -0.11857, 0.50879
0.56700, 0.34907, 0.26180, 0.34907, 0.03793, -0.12983, 0.50186
0.62290, 0.36652, 0.31416, 0.38397, 0.04574, -0.14087, 0.49130
0.68060, 0.40143, 0.34907, 0.40143, 0.05414, -0.15454, 0.48223
0.73670, 0.43633, 0.38397, 0.43633, 0.06604, -0.16404, 0.47249
0.79260, 0.45379, 0.43633, 0.47124, 0.07563, -0.17287, 0.45812
0.84880, 0.50615, 0.47124, 0.50615, 0.08906, -0.18337, 0.44625
0.90480, 0.52360, 0.52360, 0.54105, 0.09946, -0.19017, 0.43360
0.96170, 0.55850, 0.57596, 0.55850, 0.11358, -0.19768, 0.41547
1.02080, 0.59341, 0.61086, 0.59341, 0.12438, -0.20209, 0.40081
1.07770, 0.62832, 0.68068, 0.62832, 0.13503, -0.20607, 0.38045
1.13390, 0.66322, 0.73304, 0.66322, 0.14900, -0.20767, 0.36409
1.18990, 0.68068, 0.78540, 0.69813, 0.15893, -0.20794, 0.34184
1.24740, 0.71558, 0.83776, 0.71558, 0.17095, -0.20518, 0.32618
1.30400, 0.75049, 0.87266, 0.75049, 0.17880, -0.20073, 0.31243
1.36000, 0.78540, 0.89012, 0.78540, 0.18560, -0.19296, 0.29927
1.41730, 0.82030, 0.92502, 0.78540, 0.19479, -0.18642, 0.29353
1.47340, 0.83776, 0.94248, 0.78540, 0.20156, -0.17987, 0.29048
1.52900, 0.87266, 0.95993, 0.78540, 0.20849, -0.17069, 0.29029
1.58520, 0.90757, 0.95993, 0.78540, 0.21712, -0.16354, 0.29110
1.64250, 0.94248, 0.95993, 0.78540, 0.22322, -0.15608, 0.29274
1.69910, 0.97738, 0.95993, 0.78540, 0.23058, -0.14572, 0.29395
1.75510, 0.99484, 0.95993, 0.78540, 0.23538, -0.13791, 0.29539
1.81350, 1.02974, 0.95993, 0.78540, 0.23973, -0.12736, 0.29629
